englishinstitutionname,uni_id,regionofestablishmentnuts2,nameofthecity,stud_enrolled,cnt,arwu_rank,thes_rank,glob_rank,rank_fees,median_income_imputed,pub
Bangor U.,9,UKL1,Bangor,10700,UK,,95,,37,14600,1
Swansea U.,42,UKL1,Swansea,18255,UK,,89,,33,14600,1
U. New South Wales,133,UKL1,Pontypridd,23155,UK,21,136,78.5,43,14600,1
Cardiff U.,11,UKL2,Cardiff,29740,UK,28,59,43.5,34,16000,1
U. Aberdeen,51,UKM5,Aberdeen,13005,UK,63,63,63,45,20600,1
U. St Andrews,72,UKM7,St Andrews,9425,UK,90,43,66.5,24,18000,1
Heriot-Watt U.,21,UKM7,Edinburgh,9705,UK,111,96,103.5,7,18000,1
U. Dundee,56,UKM7,Dundee,14795,UK,85.5,66,75.75,46,18000,1
U. Edinburgh,57,UKM7,Edinburgh,28535,UK,5,4,4.5,25,18000,1
U. Strathclyde,73,UKM8,Glasgow,21280,UK,,99,,44,16200,1
U. Glasgow,60,UKM8,Glasgow,26320,UK,42,24,33,40,16200,1
